;BIN,HBW,HBShp,HBOth,HBSch_Pr,HBSch_Sc,NHBW,NHBNW,LT,MD,HV,IX,IX_LT,IX_MD,IX_HV,XI,XI_LT,XI_MD,XI_HV
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,0.9993574,0.995,0.98,0.88,0.9192479,0.98,0.9998,0.7347092,0.8973684,0.7726857,0.9989529,0.9989529,0.9923661,0.9923943,0.998,0.998,0.9644044,0.9582352
4,0.94,0.7468942,0.8156454,0.73,0.3193954,0.885,0.8618253,0.3762377,0.4765048,0.3891048,0.9897059,0.9897059,0.9549386,0.960358,0.96,0.96,0.8664545,0.8770457
6,0.3056558,0.4987883,0.2313592,0.3954032,0.0385103,0.55,0.4028693,0.1041812,0.2064763,0.1472042,0.9641176,0.9641176,0.8688088,0.8783566,0.7399215,0.7399215,0.6864575,0.6958914
8,0.1727251,0.2704202,0.1002163,0.0645669,0.0095252,0.3266144,0.2086301,0.0285376,0.0794659,0.0477423,0.8822073,0.8822073,0.7319701,0.7475109,0.5261421,0.5261421,0.4558959,0.4352722
10,0.1353842,0.1461689,0.0573553,0.00705,0.0051119,0.2008064,0.1096581,0.0148914,0.0268644,0.0172999,0.7939322,0.7939322,0.5749666,0.5878292,0.3947206,0.3947206,0.2664798,0.2714227
12,0.1140703,0.0670591,0.0330797,0.00305,0.0026495,0.1358886,0.0696255,0.0087556,0.0141521,0.0108967,0.7063664,0.7063664,0.4369421,0.4499912,0.2653975,0.2653975,0.1551087,0.1644043
14,0.1005736,0.0356597,0.021126,0.0016448,0.0013636,0.094952,0.0478365,0.0056553,0.0117008,0.0094196,0.6188006,0.6188006,0.3583903,0.3663669,0.1643149,0.1643149,0.0996684,0.0972675
16,0.0869858,0.0207377,0.011634,0.0012,0.0008267,0.0667636,0.0323396,0.0039161,0.0099851,0.0084724,0.5312349,0.5312349,0.3163803,0.3207559,0.119527,0.119527,0.0681803,0.0638696
18,0.0731164,0.0131923,0.0082001,0.00097,0.0005811,0.0490878,0.0233767,0.002989,0.0086218,0.0076443,0.4436691,0.4436691,0.2910523,0.2942064,0.0958463,0.0958463,0.0495711,0.0485701
20,0.0609015,0.0095254,0.005938,0.0008109,0.00039,0.0385711,0.017536,0.0024816,0.0076667,0.0069537,0.3561033,0.3561033,0.2689028,0.2719896,0.0703973,0.0703973,0.0389049,0.03858
22,0.0547265,0.0063796,0.0046668,0.0006389,0.00024,0.0289765,0.0117616,0.0021025,0.006964,0.0064475,0.3409288,0.3409288,0.2483577,0.251654,0.0662551,0.0662551,0.0312677,0.0311479
24,0.0485515,0.004583,0.0037364,0.0005027,0.0001507,0.0226269,0.0089709,0.0017986,0.0064344,0.0060179,0.3257543,0.3257543,0.2278651,0.2307117,0.0621129,0.0621129,0.0261709,0.0268196
26,0.0423765,0.0033079,0.0028297,0.0003963,0.0000796,0.0188509,0.0073854,0.0015469,0.0060098,0.0056518,0.3105798,0.3105798,0.207758,0.2119367,0.0579707,0.0579707,0.023169,0.0243409
28,0.0362015,0.0022695,0.002346,0.0003241,0.0000574,0.016524,0.0062842,0.0013617,0.0055973,0.0053328,0.2954053,0.2954053,0.1916977,0.196161,0.0538285,0.0538285,0.0211459,0.0222182
